Date,Volume(Adjusted),Open,High,Low,Close,Adj Close,Volume
10/6/2019,227232.96,27206.60938,27606.41992,27155.0293,27578.64063,27578.64063,2272329600
11/6/2019,182470,27677.06055,27857.84961,27577.91016,27789.33984,27789.33984,1824700000
12/6/2019,186688.42,27603.11914,27603.11914,27222.0293,27308.46094,27308.46094,1866884200
13/6/2019,184630.31,27217.7207,27294.71094,26825.34961,27294.71094,27294.71094,1846303100
14/6/2019,203108.35,27180.74023,27275.88086,27051.75,27118.34961,27118.34961,2031083500
17/6/2019,148726.67,27252.44922,27503.09961,27227.16016,27227.16016,27227.16016,1487266700
18/6/2019,155061.47,27289.69922,27584.11914,27201.01953,27498.76953,27498.76953,1550614700
19/6/2019,207606.03,28224.86914,28224.86914,28022.49023,28202.14063,28202.14063,2076060300
20/6/2019,182018.5,28308.84961,28563.08008,28258.01953,28550.42969,28550.42969,1820185000
21/6/2019,217189.73,28581.50977,28581.50977,28359.25,28473.71094,28473.71094,2171897300
24/6/2019,133883.32,28400.63086,28634.48047,28358.06055,28513,28513,1338833200
25/6/2019,185198.41,28447.96094,28470.09961,28066.13086,28185.98047,28185.98047,1851984100
26/6/2019,143140.22,28046.16016,28267.98047,27985.98047,28221.98047,28221.98047,1431402200
27/6/2019,167989.75,28352.93945,28621.41992,28287.33984,28621.41992,28621.41992,1679897500
28/6/2019,148668.8,28632.58984,28632.58984,28416.96094,28542.61914,28542.61914,1486688000
2/7/2019,211043.27,28904.03906,28959.06055,28768.53906,28875.56055,28875.56055,2110432700
3/7/2019,129130.15,28781.9707,28891.89063,28721.21094,28855.14063,28855.14063,1291301500
4/7/2019,92844.97,28891.9707,29007.98047,28776.48047,28795.76953,28795.76953,928449700
5/7/2019,84691.95,28785.5293,28880.58008,28714.91992,28774.83008,28774.83008,846919500
8/7/2019,125087.43,28513.14063,28541.09961,28194.07031,28331.68945,28331.68945,1250874300
9/7/2019,121847.5,28299.73047,28312.9707,28080.73047,28116.2793,28116.2793,1218475000
10/7/2019,101301.21,28245.08984,28311.7793,28144.86914,28204.68945,28204.68945,1013012100
11/7/2019,106707.09,28347.85938,28582.68945,28347.85938,28431.80078,28431.80078,1067070900
